Time,V_D,V_G_Target,I_D,I_G,Light_State,Servo_State
62.157429456710815,1.0,0.0,-4.64916e-11,-5.5158e-07,1,0
62.697108030319214,1.0,0.0,-5.84126e-11,-6.15672e-07,1,0
63.236725091934204,1.0,0.0,-6.19888e-11,-6.03128e-07,1,0
63.778398275375366,1.0,1.0,7.39241e-08,-4.81898e-07,1,0
64.32000803947449,1.0,1.0,7.38692e-08,-5.8914e-07,1,0
64.86152076721191,1.0,1.0,7.17401e-08,-6.17251e-07,1,1
65.4030876159668,1.0,1.0,8.80885e-08,-6.88143e-07,1,1
65.94466280937195,1.0,1.0,9.3025e-08,-6.35614e-07,1,1
66.48623466491699,1.0,1.0,9.48513e-08,-4.28856e-07,1,1
67.02774167060852,1.0,1.0,9.63736e-08,-5.18318e-07,1,1
67.56929349899292,1.0,1.0,9.89234e-08,-5.26402e-07,1,1
68.1108889579773,1.0,1.0,1.00223e-07,-5.31349e-07,1,0
68.6523985862732,1.0,1.0,9.33921e-08,-6.47329e-07,1,0
69.19395065307617,1.0,1.0,8.82173e-08,-5.31668e-07,1,0
69.73550343513489,1.0,1.0,8.58903e-08,-6.0798e-07,1,0
70.27709794044495,1.0,1.0,8.40652e-08,-5.67197e-07,1,0
70.81865239143372,1.0,1.0,8.2432e-08,-6.51396e-07,1,0
71.36020183563232,1.0,1.0,8.11493e-08,-5.79063e-07,1,0
71.9017174243927,1.0,1.0,7.972e-08,-5.40496e-07,1,0
72.44330477714539,1.0,1.0,7.75731e-08,-5.43821e-07,1,0
72.98485970497131,1.0,1.0,7.78115e-08,-4.64505e-07,1,0
73.52641201019287,1.0,1.0,7.6977e-08,-5.77786e-07,1,0
74.06796383857727,1.0,1.0,7.6381e-08,-6.60733e-07,1,0
74.60755681991577,1.0,0.0,-3.21865e-11,-6.06457e-07,1,0
75.14809036254883,1.0,0.0,-4.88758e-11,-6.59375e-07,1,0
75.68763494491577,1.0,0.0,-5.126e-11,-5.38729e-07,1,0
76.2282178401947,1.0,0.0,-3.69549e-11,-6.32008e-07,1,0
76.76773405075073,1.0,0.0,-3.8147e-11,-5.72215e-07,1,0
